"name","latitude","longitude"
"Nicotiana glauca Graham",38.478395,-0.427177
"Nicotiana glauca Graham",38.373943,-0.460783
"Nicotiana glauca Graham",36.721759,-4.416223
"Nicotiana glauca Graham",36.40063,-6.214508
"Nicotiana glauca Graham",42.287183,3.281718
"Nicotiana glauca Graham",38.536641,-0.10634
"Nicotiana glauca Graham",36.665929,-4.533267
"Nicotiana glauca Graham",37.956491,-0.760235
"Nicotiana glauca Graham",28.1163,-17.30608
"Nicotiana glauca Graham",36.789937,-4.095438
"Nicotiana glauca Graham",36.75354,-3.871549
"Nicotiana glauca Graham",28.86188,-13.852821
"Nicotiana glauca Graham",36.946035,-4.792311
"Nicotiana glauca Graham",36.946035,-4.792311
